month,Local Route,Light Rail,Peak Service,Rapid Route,School
1,7238.0,6025.825806451613,143.1290322580645,10121.329032258065,48.774193548387096
2,12770.915492957747,8840.408450704226,222.8661971830986,15672.887323943662,4130.330985915493
3,11670.935483870968,8121.961290322581,210.24516129032259,14689.6,3475.574193548387
4,8107.326666666667,6312.373333333333,154.42,10724.24,1297.6266666666668
5,10167.535483870968,7090.458064516129,181.2774193548387,12285.845161290323,2953.9032258064517
6,9870.98,7054.326666666667,176.20666666666668,12116.386666666667,2888.98
7,10096.13440860215,7558.559139784947,197.83333333333334,13161.489247311827,1857.5967741935483
8,10881.236559139785,7526.489247311828,192.05376344086022,13647.123655913978,3044.3548387096776
9,9195.3687150838,6620.860335195531,165.86033519553072,11782.748603351954,2298.5083798882683
10,9346.296774193548,6872.496774193548,169.0774193548387,12308.612903225807,2087.232258064516
11,11071.32,7763.206666666667,200.71333333333334,13694.446666666667,3312.826666666667
12,8370.909677419355,6631.767741935484,140.66451612903225,10982.548387096775,969.0387096774193
